[-3, 8, 2, -1, -3, 8, 6, 2, 0]
[7, -1, -3, 2, 6, -3, 2, 7, 0]
[8, 8, 8, 7, -2, -4, -2, -1, 0]
[1, -7, 3, 2, 6, 6, 5, 3, 0]
[-4, 4, -1, -3, 4, -5, 2, -2, 10]
[-3, -1, 4, -4, -2, 2, -5, 4, 10]
[1, -5, 2, -4, -5, -2, 4, -3, 14]
[2, -1, -2, -2, 3, 3, -3, -4, 8]
[-1, -4, -3, 4, -5, -2, 4, 2, 10]
[-6, -4, 2, 3, 5, -6, -3, -3, 16]
[-2, 1, -4, 2, -3, 3, -2, -4, 11]
[2, 1, -3, -4, -2, -2, -4, 3, 11]
[3, 1, 3, 7, 5, 8, -8, 8, 0]
[1, 4, 1, 4, 3, -2, 3, -2, 0]
[-5, -3, -4, 5, -8, -4, 4, 5, 16]
[8, -1, 8, -3, 8, 2, -1, -3, 5]
[0, 6, -8, -1, 1, -8, 8, -1, 16]
[-1, -1, 8, 8, -1, 8, -1, 0, 3]
