[9, 2, -3, -3, 1, 3, -2, 2, -3, -1, 2]
[13, -4, -1, 2, -4, 2, -3, 2, 4, -3, -2]
[14, -5, 3, -5, 5, -1, 5, -4, -2, 5, -2]
[5, 2, -2, -2, 2, 1, 1, 2, -2, -1, 2]
[4, -3, 3, 3, 3, -3, 2, 1, -1, 3, 2]
[18, -5, -3, 5, -5, -1, 2, -4, -3, 5, -2]
[6, 3, 1, -1, 3, -1, -2, 2, 3, -3, -2]
[7, -2, 2, 0, -1, -2, -2, 2, 2, 1, -2]
[16, 4, 2, -4, -4, -1, 2, -3, -4, 1, -4]
[15, 5, -5, -1, 3, -5, -5, 2, 5, 2, -4]
[9, -7, -7, 2, 3, 4, 3, 5, 4, 7, -2]
[5, 1, 0, 5, 5, 3, -5, -3, 2, -2, 4]
[0, -3, 9, -1, -3, 1, 9, 6, 9, -2, 8]
[0, -1, -1, 2, -2, -2, 4, 6, 5, 6, 5]
[0, -1, 11, -4, 2, -4, 7, 11, 10, -2, 9]
[10, -1, -4, -3, 3, 3, 2, 3, 3, -1, -3]
[0, 2, 5, -2, -2, 1, 5, 5, 3, -1, 4]
[12, -3, 1, -1, -1, -3, 2, -3, 3, -2, -2]
[5, -1, -1, 2, 1, 0, 2, 2, -2, -2, -1]
[0, -1, 1, -2, -1, -1, 5, 5, 4, 4, 5]
[5, 0, -1, 2, 1, -1, 2, 2, -1, -2, -2]
[0, 2, 3, 1, 2, 0, 3, 1, 2, -3, 3]
[8, -2, -2, -2, 1, -2, -1, 2, -1, 2, 1]
[0, 2, 1, 1, -2, -2, 3, 2, 3, 3, 3]
[24, -3, -5, -5, -3, 1, -5, 4, -2, -2, -4]
[7, -1, 0, -1, 3, 1, -3, -3, 3, 2, -2]
[6, -1, 0, -2, -2, 4, -3, -2, 3, 2, 4]
[13, -3, -1, -3, -1, -1, -2, 3, -3, 2, -2]
[16, -2, -3, -3, -3, -3, 1, 1, 3, -2, -3]
[11, 4, -1, -2, -2, 4, 2, -4, 1, -3, -3]
[9, 1, -3, -1, -3, -1, 2, -2, -2, 2, 2]
[11, 1, -3, 3, -1, -3, -2, 2, -3, -2, 3]
[14, 0, 1, -2, -3, -3, -3, -2, -1, -3, 2]
[6, 3, -1, 1, -1, 3, 3, -2, 1, -3, -2]
[12, -3, 2, -3, -2, 1, -2, 1, -3, 3, -2]
[10, 5, -1, 3, 3, -1, 4, -2, -5, -2, -4]
[5, 0, 2, 3, 1, 1, 1, 3, -2, -3, -3]
[9, -4, 4, 4, -4, 2, 2, 3, -3, -2, 1]
[18, 1, -4, -4, 4, -2, -4, -4, -1, 2, -3]
[9, 3, -2, -2, 3, 1, -2, 3, 1, -3, -3]
[15, 1, -4, 0, -2, -4, 2, -4, -3, -2, 3]
[7, 3, -3, 2, 3, -3, 1, 2, -3, 2, -1]
[9, 0, 2, -4, 1, -4, -2, 4, 2, -3, 4]
[1, 2, 0, 2, 1, 3, -2, -2, 1, 2, 2]
[15, -5, -5, 1, 5, -3, 4, -5, 3, -2, 2]
[4, 3, 1, 3, 0, 1, -3, 3, -2, 2, -2]
[1, 0, 2, 4, 1, 4, -2, 3, 2, -3, 4]
[0, 3, 3, 0, 1, 2, 1, 3, 2, 3, -3]
[8, 3, -3, -3, 1, 1, 2, -3, 3, 2, -2]
[0, 3, 3, 2, -1, -1, 3, 1, 2, 2, -1]
[7, 0, 3, 2, 3, 3, -3, -1, -3, -2, -1]
[5, 2, 2, -2, 1, -2, -1, 0, -2, 2, 2]
[12, -2, 4, 4, -2, -1, -1, 3, -2, -4, -4]
[13, 1, -3, 3, -3, 2, -3, -2, -3, 1, -2]
[7, 3, -3, 2, -3, 3, 2, 3, -3, 1, -1]
[8, -2, 5, -2, 4, 5, 2, -3, -5, -1, 5]
[9, -3, 2, 3, 1, -3, -2, -1, -3, 3, 2]
[4, -2, -2, 2, 1, 2, -1, 2, -1, 2, 2]
[2, 2, 3, 0, 2, 3, 2, -3, -1, -1, 2]
[0, 6, 5, 6, 6, 3, 1, -3, -1, 2, -2]
[9, -2, -2, -2, -2, 1, 1, 2, -2, -1, 2]
[7, -4, 1, -1, -4, 4, 1, -2, 4, 3, 3]
[10, 2, 1, 2, -2, -2, -2, -2, 1, -2, -2]
[9, -3, 1, -3, 2, 3, -2, -2, -2, 1, 3]
[14, -4, -1, 4, 4, -4, -1, -4, 3, -2, -2]
