[-249, -250, 1, 247, 251, 252, 498, 498, 0]
[252, 375, 498, 376, -251, -248, 123, 124, 0]
[-84, 1, -166, -83, -84, 81, -166, -83, 500]
[9, 3, -4, 2, 8, 5, -4, 6, 0]
[1, 2, 4, -3, 1, 2, 500, -3, 2]
[1, 500, -5, 3, 1, 3, 500, 2, 0]
[1, -3, -3, 2, -1, -2, 1, -3, 9]
[-1, -2, 1, -3, 1, -3, -3, 2, 9]
[-1, 500, 500, 248, 249, 500, -499, 251, 0]
[499, 250, -1, 251, 500, -249, -500, -250, 500]
[499, -497, 499, 498, -500, -2, -1, 500, 500]
[-499, -2, -1, 4, 3, -2, 3, 2, 500]
[500, -496, -3, -2, 2, 500, -2, -1, 500]
[-2, 500, -2, -1, -494, -2, 500, -1, 500]
[2, -2, 2, -497, -1, -2, 0, 1, 500]
[-1, -2, 0, 1, 2, -2, 2, -1, 4]
[-2, -2, 1, 1, -1, 2, -2, -2, 7]
[-126, -125, 0, -124, -124, -1, -125, 500, 500]
[500, 2, -2, 0, -1, 1, 500, 1, 1]
[500, -1, -2, -1, 500, 1, 500, 3, 2]
[500, 500, 0, -1, 500, -1, 500, -1, 2]
