[12, 4, 1, 8, -14, -2, 7, 13, 0]
[-497, 247, 1, -250, 500, -1, 250, 498, 248]
[496, -499, 1, -1, 4, 500, 498, 1, 0]
[-4, 7, -8, -4, -2, -1, -8, -6, 25]
[250, 500, 186, 126, 124, -500, 312, 63, 0]
[2, 3, 4, -2, 0, -1, -2, 4, 1]
[-2, 2, 1, 0, -1, 1, 2, -2, 3]
[1, -3, -1, 3, -4, 1, -3, 3, 7]
[500, 499, 500, 500, 0, -1, -1, -499, 1]
[-2, -493, -1, 0, -2, -2, 1, -2, 500]
[2, 166, -167, -167, 0, -1, -165, -167, 500]
[500, 499, -500, 500, 500, -1, -498, 500, 499]
[-1, -2, 500, -1, -2, 500, -494, -2, 500]
[-166, -167, -167, 1, 500, 167, 0, -167, 500]
[-124, -124, 125, -251, 500, -125, -126, 126, 500]
[0, -1, 500, 500, 500, -1, -1, -1, 3]
