[500, 499, 251, 248, -249, 123, -125, -127, 1]
[-8, 2, -4, -6, 15, 13, 7, 5, 3]
[85, -169, -83, -2, -1, 168, 86, 169, 85]
[-247, 499, 251, 500, 496, -500, -250, -248, 498]
[-167, -83, -167, 83, -166, -84, 1, 167, 500]
[1, -496, 500, 2, -3, 500, -1, -4, 500]
[-187, 500, -125, -249, 63, -187, 250, 63, 500]
[-2, -18, 1, 13, -31, -1, -13, 1, 62]
[2, 1, -2, 3, -3, -2, 1, -2, 6]
[500, -1, -2, 500, 500, -1, -2, 500, 3]
[-497, -2, 1, -496, 496, 495, -2, 500, 500]
[-1, -2, 2, -2, -1, -2, 2, -2, 8]
[500, 2, -1, -1, -1, -1, -2, -1, 5]
[1, 1, 2, 1, 1, -1, 1, -1, 0]
[500, -1, 500, -500, 500, 499, 500, 499, 1]
[-1, -1, -2, -1, 500, 500, -496, -1, 500]
[1, 0, 4, 1, -1, -1, 1, 1, 1]
[0, 0, 1, 1, -1, 1, 1, -8, 8]
[-1, 1, 4, -7, 2, 2, 2, 2, 5]
[-45, 9, 10, 1, 14, 0, 14, 14, 35]
[1, -1, 1, 0, 1, -1, -1, -1, 3]
[-2, -1, -3, -3, -1, 2, 3, -1, 10]
[10, 20, 30, 0, -11, -33, -1, -29, 63]
[500, -1, -1, -1, 500, -1, 500, 1, 2]
