[125, -249, -251, 248, 252, 375, 124, 500, 0]
[7, 7, 4, 6, -3, -2, 1, -2, 0]
[-167, -168, 83, 85, 249, -165, -82, -168, 500]
[-1, 6, -2, -500, 3, 5, 4, -2, 499]
[72, -143, -36, -142, -107, -71, -106, -38, 500]
[20, 22, 27, 27, -28, 5, 1, 6, 0]
[-2, -1, 3, -4, 4, -3, 2, 1, 6]
[1, 500, 4, 2, 2, -5, -500, 3, 499]
[-124, -127, -124, 125, 123, 500, -248, -125, 500]
[-2, 500, -3, -1, -495, 1, -2, 7, 500]
[500, 3, -2, -3, 2, 500, 1, -3, 4]
[500, -500, 500, 1, 1, 0, 500, 499, 0]
[1, 2, -1, 1, -2, -499, 2, 0, 500]
[-3, 1, 1, -2, -2, 3, 2, -496, 500]
[-143, -71, -143, 143, -71, -72, 143, -143, 500]
[-1, 4, 2, -1, 5, 5, 1, 500, 0]
[-2, -1, -3, -3, -489, -3, -2, 1, 500]
[15, 15, 7, -9, 16, -7, 9, 16, 0]
[0, -21, 500, 3, -3, -1, 1, 4, 24]
[-1, -1, 500, -1, -1, 1, -1, 1, 4]
[-1, -1, 500, -1, -497, 0, 500, -1, 500]
