[-66, 74, 210, 13, 136, 211, -4, -145, 0]
[-165, 167, -332, -166, 335, 333, 1, 500, 163]
[500, 14, 12, 7, -4, -10, -3, -1, 1]
[-2, -500, 5, 0, 4, -2, 500, -1, 499]
[3, 5, -3, 6, -5, -3, 1, 1, 5]
[496, 499, -2, -500, 500, -496, -2, 1, 500]
[-499, 250, 249, -250, -249, 499, -1, 248, 500]
[1, -100, -201, -100, 100, -99, -200, 500, 500]
[7, -3, 7, 4, -5, 7, 5, 2, 1]
[0, -1, -496, -1, 1, -2, 2, -2, 500]
[500, -1, 500, -1, -496, -1, -2, -1, 500]
[0, 1, -497, 2, -1, -2, -1, -1, 500]
[-249, -249, -248, 500, -1, 250, -2, 500, 500]
[1, 0, -1, 1, -499, 1, 0, -1, 500]
[-1, -496, -1, -1, -1, 1, 0, -1, 500]
[7, -32, 7, -1, -25, 13, 8, 500, 50]
[0, 0, -1, 500, -1, -1, 1, 500, 2]
[0, 500, 500, 500, 500, 0, -500, 500, 0]
