[-127, 42, -84, -85, 256, 214, 129, 87, 40]
[15, 13, 8, 6, -7, 2, -4, -5, 1]
[4, -7, -3, -2, -1, 7, 5, 8, 4]
[-1, 173, 170, 256, 87, -256, -86, -84, 170]
[-4, -2, -1, 3, -248, -2, -3, 2, 256]
[-2, 3, -1, -3, 1, -253, 3, 1, 256]
[1, -2, 3, 1, -2, 3, -1, -3, 5]
[-2, 1, -3, 1, -3, -3, 2, 2, 8]
[3, -1, -2, 256, 3, -1, -2, 3, 3]
[-3, -252, 1, -2, 2, 1, -2, 3, 256]
[256, 2, -1, 1, -1, -2, -2, -253, 256]
[-3, -1, -2, -1, 2, 3, 1, -1, 5]
[-63, -64, 64, -64, -1, -64, 64, -64, 256]
[1, 0, 1, 2, -1, -1, 0, 2, 1]
[1, 1, 2, 1, 1, -1, 1, -1, 0]
[1, -1, 1, -1, 1, 1, 4, 1, 0]
[-1, -1, 0, 1, 1, 0, 1, 1, 1]
[87, 256, 86, -1, -171, -84, -87, -84, 256]
[0, 1, 1, 1, -2, 0, 1, -1, 2]
[1, -1, 1, -2, 2, -3, -1, -4, 10]
[-4, 1, 1, -1, 4, 4, 4, 4, 0]
[256, -2, -3, -5, 3, -1, 5, 4, 6]
[256, 0, -1, 1, -1, -1, 0, -1, 3]
[256, -1, -1, -1, 256, 256, -1, 0, 3]
