[22, -14, -12, 18, 3, 22, 6, 5, 3]
[172, 256, 85, 256, -84, -86, 85, -86, 0]
[-2, 7, 5, -1, 6, -2, -2, 6, 0]
[-128, -128, 1, 2, 256, 256, 255, 126, 0]
[-2, -1, 3, -4, -1, 256, -249, -4, 256]
[4, -3, -2, -2, -4, -5, -3, 1, 14]
[255, -128, 129, -127, 255, -256, 128, -1, 256]
[-102, -51, 52, 49, -102, -102, 53, -1, 256]
[2, 3, -2, -2, -3, 4, 2, 1, 3]
[-4, -1, -3, 2, 2, -4, -3, -245, 256]
[-2, 1, 1, 3, -1, 3, -2, 3, 2]
[256, 2, 1, -3, 256, 256, -3, -2, 4]
[-6, 256, 1, -2, -248, -6, 4, 3, 256]
[3, 2, 2, 2, -5, 3, 3, 1, 0]
[-255, 2, -2, 2, 1, 1, -1, 0, 256]
[5, 1, -1, -15, 6, -13, 15, -8, 31]
[-252, -2, -2, 2, 0, -1, 1, -1, 256]
[-51, -49, -52, -52, -49, -1, -52, 256, 256]
[-1, 0, 1, 1, 1, 0, -1, 2, 1]
[-1, -1, 1, -1, 1, 256, 256, 1, 1]
[-1, -1, -1, 0, 0, 256, 256, -1, 3]
