[29, -18, -18, 6, 30, 12, 11, 29, 0]
[1, 6, 6, 5, -2, -2, -2, 3, 0]
[-4, -2, -2, 4, -1, -1, 1, -3, 9]
[63, 256, -128, -127, 65, 255, 64, 256, 0]
[1, -5, 2, -4, 3, -1, -5, -5, 15]
[129, 130, 130, 127, 128, 129, 126, -256, 0]
[3, 3, -5, -2, 2, -5, -1, -5, 13]
[-3, 1, 4, -3, 3, -2, 2, 2, 4]
[-5, -2, -5, -245, -4, 3, 1, 2, 256]
[-1, 0, 256, 256, -1, 1, 1, 256, 0]
[-10, 18, 19, -39, -3, 2, -1, -3, 52]
[256, -1, -3, 1, -3, 3, -2, -2, 8]
[1, -2, -2, -2, -1, -249, -3, 3, 256]
[1, 0, 1, -1, -2, -2, 256, -7, 10]
[-1, 3, -3, -1, 1, 2, -1, 2, 3]
[1, -86, 86, -86, -85, 85, -85, 85, 256]
[-1, -1, -1, 256, -253, -2, 2, 256, 256]
[4, 0, 2, 4, 5, -9, 12, 3, 5]
[2, 1, 1, -11, 7, 0, -2, 256, 12]
[-3, 2, 1, 256, -3, -5, 2, 256, 7]
[0, -1, -1, 256, 256, -1, -1, 256, 3]
