[3, 2, 2, -1, 3, -2, 3, -3, 3, 1, 3]
[5, 1, -2, 3, -3, 1, 1, 2, -3, 3, 2]
[8, -4, 2, 1, 4, 2, 4, -3, 4, -3, -2]
[3, 2, -2, -1, 1, 1, 2, 1, 2, 2, -2]
[5, 1, 1, -2, 3, -3, -3, 3, 2, 3, 2]
[15, 1, 2, -2, -3, -3, 3, -4, -3, -1, -3]
[14, 1, -1, -2, 3, -2, -3, 3, -3, -3, -3]
[13, -3, -3, -2, 3, -1, 2, -3, -3, -1, 2]
[22, -5, -1, 4, -5, -4, -2, -5, 4, -3, -2]
[6, -3, 3, -2, 2, 1, 3, 2, -1, -3, 2]
[9, -5, -3, 4, 3, -1, 2, 5, -5, 4, 2]
[12, -3, -2, -1, 3, -2, -3, 2, -1, -3, 2]
[3, 1, -2, 2, 1, 2, 1, -2, -1, 2, 2]
[10, 1, 3, -3, -3, 2, -3, 3, -2, -2, 1]
[6, 4, -2, 4, 3, -2, -1, 3, 2, -2, -3]
[4, -2, 1, 1, 2, 2, -2, 1, 2, -2, 2]
[9, 2, -5, -4, 5, 2, 3, 1, 5, -5, 5]
[8, -2, 1, -2, -2, 2, 0, -2, 2, 1, -2]
[9, 3, -3, 2, -1, -1, -2, 2, -3, -2, 3]
[15, 2, 3, 2, -5, 5, -5, 5, -1, -4, -5]
[10, -3, 2, 1, 2, 3, -3, 3, -3, -1, -3]
[20, 3, -5, -5, -4, 2, 4, -4, -2, -5, 1]
[11, 1, -4, 3, 1, -3, 2, 4, -4, -4, 1]
[13, 3, -2, -4, -2, -3, 4, 1, -4, 2, -2]
[6, -1, -2, 2, 2, -2, 1, -2, 2, 2, -1]
[8, -3, 2, -3, -2, 1, 3, 1, 3, 1, -3]
[4, -2, 2, 2, 1, 2, 1, -2, 2, 1, -2]
[8, -3, 3, 3, 1, -3, -2, 1, 2, 1, -3]
[11, -3, -2, 3, -2, 3, 1, -1, -3, 3, -3]
[7, -3, 1, -1, 2, -3, 3, 3, -3, 2, 2]
[13, 3, 2, 4, -3, -5, 2, -5, -1, 4, -4]
[5, 3, 1, -2, -2, 2, -3, -1, 3, 3, 2]
[8, -2, 1, 3, 3, -1, -3, -3, -2, 2, 3]
[22, 2, -3, -3, -4, -5, -2, -5, -5, 5, 1]
[11, 1, 2, 2, 4, -4, -4, 2, -3, -4, 4]
[7, -2, 2, -2, -1, -2, -2, 1, 2, 1, 1]
[6, 3, 2, -3, 1, 3, 2, -1, -3, 3, -2]
[13, 5, -4, -4, -2, 1, 5, -5, 2, -3, 4]
[16, -2, -4, -2, -4, -4, 2, -4, 1, 4, 3]
[12, 5, -3, -3, 6, 1, -3, -5, 2, -4, 6]
[15, -5, 1, 3, 4, 2, -5, -5, -5, 2, 4]
[16, 3, 5, -5, 2, -5, 4, -3, -1, -5, -2]
[6, 2, 2, -1, -2, -2, 1, 1, -1, -2, 2]
[8, -2, 2, 3, -3, 1, 3, -2, -2, -2, 1]
[9, -3, 0, 1, -3, -2, 1, 2, 2, -3, 2]
[23, -2, -3, -4, -3, -4, -4, -2, -4, 2, -1]
[7, 1, -3, -2, 3, -2, -2, -1, 2, 2, 1]
[10, -2, -3, -2, -2, 1, 3, 3, -2, 1, -2]
[5, 3, 3, 2, -3, -2, 1, 1, 3, 3, -3]
[6, 2, 3, -3, 1, 3, -3, 3, 3, -2, -1]
[21, 3, 2, 5, 4, -6, -6, -6, -1, -3, -5]
[13, 3, -3, -3, -1, -3, -1, -2, 3, -3, 2]
[9, 2, 3, 3, -3, -1, -2, -3, 3, -3, 1]
[6, -2, -1, 0, 2, 2, 1, -1, 2, -2, -2]
[10, -1, 3, 2, -2, 2, -3, 2, -1, -3, -3]
[9, 1, 1, 2, -3, -3, -3, 3, -3, 3, 2]
[20, -5, 5, -3, 3, 2, -6, 4, -6, 1, -6]
[7, 3, -3, 2, -3, 1, 2, -2, 3, 1, -2]
[13, 4, -4, 3, -4, -4, -2, -1, -2, 2, 3]
[16, -4, 3, -1, 4, -4, -2, -2, 1, -4, -3]
[16, -3, 5, 1, -2, -4, 5, -2, -3, -3, -4]
[6, 3, 4, 2, -4, 4, -3, -3, 2, 2, 1]
[4, 1, -1, 1, 1, 1, 1, -1, -1, -1, -1]
[10, -5, -4, 3, 1, 4, 5, 2, -4, 5, -2]
[6, 3, -3, -1, 2, 3, -2, 3, -3, 3, 1]
[16, -2, -2, -2, -3, 1, -2, -3, -2, -3, 1]
[10, -5, -3, -2, 4, 1, -5, 3, 5, 5, 2]
[13, -1, 5, -3, -5, 2, 5, 4, 2, -4, -5]
[10, 2, -1, -1, -3, 3, -3, 3, 3, -3, -2]
[7, -1, -2, 3, -1, 3, -3, 3, 2, 3, -3]
[7, -2, 2, -1, -3, 3, 3, -3, -1, 3, 1]
[11, -3, -4, 3, -4, 1, 4, 2, 1, -4, 2]
[9, 1, 3, -3, 3, 2, -2, -2, -2, 1, -3]
[14, 5, -1, -4, 4, 4, -2, -5, -2, -5, 3]
