[8, -3, -3, 7, 8, -1, -1, 5, 0]
[-3, 7, 8, -3, -1, 5, 8, -1, 0]
[8, 8, 7, 7, -1, -2, -5, 1, 0]
[-2, 1, 0, -6, 8, 7, 8, 8, 0]
[-1, 3, 5, 8, -2, 5, -1, -2, 1]
[-2, 3, -5, -4, -1, 2, -4, -4, 16]
[-2, -2, -2, 1, -2, -2, -1, 0, 9]
[8, 8, -8, 7, 0, -1, -1, 8, 2]
[-1, 1, -1, 1, 0, -1, 0, -1, 3]
[-2, -2, 0, -1, -2, -1, -2, 8, 8]
[8, -1, -2, -2, -2, -2, 8, -1, 8]
[-2, -2, 8, 1, 8, -2, -1, -2, 7]
[4, -4, 3, 4, -1, -2, 7, -3, 9]
[8, -1, 7, -8, -1, -7, 7, 7, 16]
[1, -1, 1, -1, 1, 1, -1, -1, 3]
[1, -3, -1, -2, 1, -1, -1, 0, 7]
[8, -1, 5, -1, 8, -8, 3, -1, 10]
[-2, -2, -1, -1, 2, 2, 2, 1, 4]
[0, 1, -3, 2, 1, 2, 2, 6, 1]
[3, -2, 2, -2, -1, 1, -1, 1, 5]
[7, -8, -1, 8, 8, 8, 0, 8, 1]
[1, 1, 1, 0, 1, -1, -1, -1, 2]
[1, -1, 1, -1, -1, -1, -1, -1, 5]
[-2, -3, 3, -5, -4, 1, 2, -4, 16]
[8, 0, -1, -1, -1, 8, -1, -1, 4]
