[-6, 2, -5, 8, 1, -6, 2, -4, 15]
[-2, 5, -1, -7, 2, -7, -6, 8, 16]
[-1, 2, -2, -3, 1, 3, -1, -3, 7]
[-2, -1, 3, -3, -3, -1, 1, -3, 10]
[4, -1, -2, 3, -3, 3, -1, 1, 4]
[8, 4, -5, -8, 8, -2, 3, -8, 15]
[-8, -1, 3, 3, -8, 1, 1, 3, 14]
[1, -2, 2, -3, -1, 3, -8, -5, 16]
[1, -2, 2, 1, 1, -2, -2, -2, 6]
[1, -3, -2, 2, 1, 3, 3, -3, 5]
[8, -1, -2, -1, -2, 1, 8, 8, 4]
[8, 1, 1, -3, -2, -3, -3, 2, 8]
[8, 2, -2, 2, -5, -3, 1, -1, 9]
[-8, 8, 8, 8, 7, 8, 7, -8, 8]
[3, -2, 1, 1, 3, -2, 3, 4, 2]
[-4, -4, -4, -4, 3, 1, -4, 1, 16]
[-8, 2, -1, 1, 0, -8, 2, 1, 15]
[1, -1, 1, 1, 0, 1, -1, 1, 1]
[-1, -6, 1, 2, 1, 0, -8, -2, 16]
[-1, -1, -1, 0, 0, -1, -1, -1, 5]
