[8, 2, 2, -4, -1, 2, -3, -3, 7]
[8, -4, 2, 2, -1, -3, -3, 2, 7]
[-1, -4, -1, -4, -4, 2, 4, 2, 10]
[-5, 2, 5, 2, -1, -5, -1, -5, 13]
[-2, 1, -2, -3, 8, 3, 3, -4, 7]
[-1, 8, -3, -3, -3, -2, -2, 8, 10]
[-3, -3, -1, 8, -2, 8, -3, -2, 10]
[-3, -5, -7, 4, 8, -8, 4, 4, 15]
[-1, 2, -1, 2, -2, 1, 2, 1, 2]
[3, 2, -8, 2, 1, -3, 1, -8, 16]
[-8, 8, -1, 8, 8, 1, -8, 1, 15]
[0, -1, 0, -1, 1, 1, -1, 1, 2]
[-8, 7, 8, -8, 8, -8, 7, 8, 16]
[8, -2, 1, 8, -2, 1, 8, -2, 4]
[1, 1, 1, -1, -1, -1, 1, 0, 2]
[1, 3, -1, -2, -8, 8, -8, 8, 16]
[-3, -5, 4, 8, -8, 8, -8, 8, 16]
[-8, -8, 8, 8, 8, 8, 8, -8, 16]
